INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 01:44:59.1660 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 01:44:59.1660 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 01:44:59.1660 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 01:44:59.1660 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 01:44:59.1660 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 01:45:04.3104 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 10:40:35.5712 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 10:40:35.5712 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 10:40:35.5712 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 10:40:35.5712 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 10:40:35.5712 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 10:40:41.0481 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 10:43:43.9878 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 10:43:43.9878 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 10:43:43.9878 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 10:43:43.9878 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 10:43:43.9878 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 10:43:49.1878 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 12:43:05.0874 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 12:43:05.3316 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 12:43:26.3192 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 13:11:58.4310 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 13:11:58.4310 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 13:11:58.4310 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 13:11:58.4310 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 13:11:58.4310 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 13:12:03.6366 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 13:16:47.1181 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 13:16:47.1181 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 13:16:47.1181 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 13:16:47.1181 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 13:16:47.1181 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 13:16:51.9281 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 13:19:10.2112 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 13:19:10.2112 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 13:19:10.2112 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 13:19:10.2112 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 13:19:10.2112 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 13:19:14.2001 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 13:20:42.8955 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 13:20:42.8955 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 13:20:42.8955 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 13:20:42.8955 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 13:20:42.8955 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 13:20:47.3362 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 13:25:14.1949 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 13:25:14.1949 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 13:25:14.1949 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 13:25:14.1949 |***| 0|***| Microsoft.Hosting.Lifetime|
